"transaction_id","sale_date","customer_id","gender","age","age_group","product_category","quantity","total_amount","unit_price_calc"
1,2023-11-24,CUST001,Male,34,"20-35",Beauty,3,150.00,50.0000000000000000
2,2023-02-27,CUST002,Female,26,"20-35",Clothing,2,1000.00,500.0000000000000000
3,2023-01-13,CUST003,Male,50,"36-50",Electronics,1,30.00,30.0000000000000000
4,2023-05-21,CUST004,Male,37,"36-50",Clothing,1,500.00,500.0000000000000000
5,2023-05-06,CUST005,Male,30,"20-35",Beauty,2,100.00,50.0000000000000000
6,2023-04-25,CUST006,Female,45,"36-50",Beauty,1,30.00,30.0000000000000000
7,2023-03-13,CUST007,Male,46,"36-50",Clothing,2,50.00,25.0000000000000000
8,2023-02-22,CUST008,Male,30,"20-35",Electronics,4,100.00,25.0000000000000000
9,2023-12-13,CUST009,Male,63,"50+",Electronics,2,600.00,300.0000000000000000
10,2023-10-07,CUST010,Female,52,"50+",Clothing,4,200.00,50.0000000000000000
11,2023-02-14,CUST011,Male,23,"20-35",Clothing,2,100.00,50.0000000000000000
12,2023-10-30,CUST012,Male,35,"20-35",Beauty,3,75.00,25.0000000000000000
13,2023-08-05,CUST013,Male,22,"20-35",Electronics,3,1500.00,500.0000000000000000
14,2023-01-17,CUST014,Male,64,"50+",Clothing,4,120.00,30.0000000000000000
15,2023-01-16,CUST015,Female,42,"36-50",Electronics,4,2000.00,500.0000000000000000
16,2023-02-17,CUST016,Male,19,"18-20",Clothing,3,1500.00,500.0000000000000000
17,2023-04-22,CUST017,Female,27,"20-35",Clothing,4,100.00,25.0000000000000000
18,2023-04-30,CUST018,Female,47,"36-50",Electronics,2,50.00,25.0000000000000000
19,2023-09-16,CUST019,Female,62,"50+",Clothing,2,50.00,25.0000000000000000
20,2023-11-05,CUST020,Male,22,"20-35",Clothing,3,900.00,300.0000000000000000
21,2023-01-14,CUST021,Female,50,"36-50",Beauty,1,500.00,500.0000000000000000
22,2023-10-15,CUST022,Male,18,"18-20",Clothing,2,100.00,50.0000000000000000
23,2023-04-12,CUST023,Female,35,"20-35",Clothing,4,120.00,30.0000000000000000
24,2023-11-29,CUST024,Female,49,"36-50",Clothing,1,300.00,300.0000000000000000
25,2023-12-26,CUST025,Female,64,"50+",Beauty,1,50.00,50.0000000000000000
26,2023-10-07,CUST026,Female,28,"20-35",Electronics,2,1000.00,500.0000000000000000
27,2023-08-03,CUST027,Female,38,"36-50",Beauty,2,50.00,25.0000000000000000
28,2023-04-23,CUST028,Female,43,"36-50",Beauty,1,500.00,500.0000000000000000
29,2023-08-18,CUST029,Female,42,"36-50",Electronics,1,30.00,30.0000000000000000
30,2023-10-29,CUST030,Female,39,"36-50",Beauty,3,900.00,300.0000000000000000
31,2023-05-23,CUST031,Male,44,"36-50",Electronics,4,1200.00,300.0000000000000000
32,2023-01-04,CUST032,Male,30,"20-35",Beauty,3,90.00,30.0000000000000000
33,2023-03-23,CUST033,Female,50,"36-50",Electronics,2,100.00,50.0000000000000000
34,2023-12-24,CUST034,Female,51,"50+",Clothing,3,150.00,50.0000000000000000
35,2023-08-05,CUST035,Female,58,"50+",Beauty,3,900.00,300.0000000000000000
36,2023-06-24,CUST036,Male,52,"50+",Beauty,3,900.00,300.0000000000000000
37,2023-05-23,CUST037,Female,18,"18-20",Beauty,3,75.00,25.0000000000000000
38,2023-03-21,CUST038,Male,38,"36-50",Beauty,4,200.00,50.0000000000000000
39,2023-04-21,CUST039,Male,23,"20-35",Clothing,4,120.00,30.0000000000000000
